program,match_total_len,match_protocol,match_flags_1,match_ttl,match_src_port,match_dst_port,match_tcp_flags_2,match_tcp_flags_1,total_stages
0_1_1_1_1_0_1_0_1500,0,1,1,1,1,0,1,0,1
0_1_1_1_1_0_1_1_1500,0,1,1,1,1,0,1,1,1
0_1_1_1_1_1_0_0_1500,0,1,1,1,1,1,0,0,1
0_1_1_1_1_1_0_1_1500,0,1,1,1,1,1,0,1,1
0_1_1_1_1_1_1_0_1500,0,1,1,1,1,1,1,0,1
0_1_1_1_1_1_1_1_1500,0,1,1,1,1,1,1,1,1
0_1_1_1_1_2_0_0_1500,0,1,1,1,1,2,0,0,1
0_1_1_1_1_2_0_1_1500,0,1,1,1,1,2,0,1,1
0_1_1_1_1_2_1_0_1500,0,1,1,1,1,2,1,0,1
0_1_1_1_1_2_1_1_1500,0,1,1,1,1,2,1,1,1
0_1_1_1_2_0_0_0_1500,0,1,1,1,2,0,0,0,1
0_1_1_1_2_0_0_1_1500,0,1,1,1,2,0,0,1,1
0_1_1_1_2_0_1_0_1500,0,1,1,1,2,0,1,0,1
0_1_1_1_2_0_1_1_1500,0,1,1,1,2,0,1,1,1
0_1_1_1_2_1_0_0_1500,0,1,1,1,2,1,0,0,1
0_1_1_1_2_1_0_1_1500,0,1,1,1,2,1,0,1,1
0_1_1_1_2_1_1_0_1500,0,1,1,1,2,1,1,0,1
0_1_1_1_2_1_1_1_1500,0,1,1,1,2,1,1,1,1
0_1_1_1_2_2_0_0_1500,0,1,1,1,2,2,0,0,1
0_1_1_1_2_2_0_1_1500,0,1,1,1,2,2,0,1,1
0_1_1_1_2_2_1_0_1500,0,1,1,1,2,2,1,0,1
0_1_1_1_2_2_1_1_1500,0,1,1,1,2,2,1,1,1
0_1_1_2_0_0_0_0_1500,0,1,1,2,0,0,0,0,1
0_1_1_2_0_0_0_1_1500,0,1,1,2,0,0,0,1,1
0_1_1_2_0_0_1_0_1500,0,1,1,2,0,0,1,0,1
0_1_1_2_0_0_1_1_1500,0,1,1,2,0,0,1,1,1
0_1_1_2_0_1_0_0_1500,0,1,1,2,0,1,0,0,1
0_1_1_2_0_1_0_1_1500,0,1,1,2,0,1,0,1,1
0_1_1_2_0_1_1_0_1500,0,1,1,2,0,1,1,0,1
0_1_1_2_0_1_1_1_1500,0,1,1,2,0,1,1,1,1
0_1_1_2_0_2_0_0_1500,0,1,1,2,0,2,0,0,1
0_1_1_2_0_2_0_1_1500,0,1,1,2,0,2,0,1,1
0_1_1_2_0_2_1_0_1500,0,1,1,2,0,2,1,0,1
0_1_1_2_0_2_1_1_1500,0,1,1,2,0,2,1,1,1
0_1_1_2_1_0_0_0_1500,0,1,1,2,1,0,0,0,1
0_1_1_2_1_0_0_1_1500,0,1,1,2,1,0,0,1,1
0_1_1_2_1_0_1_0_1500,0,1,1,2,1,0,1,0,1
0_1_1_2_1_0_1_1_1500,0,1,1,2,1,0,1,1,1
0_1_1_2_1_1_0_0_1500,0,1,1,2,1,1,0,0,1
0_1_1_2_1_1_0_1_1500,0,1,1,2,1,1,0,1,1
0_1_1_2_1_1_1_0_1500,0,1,1,2,1,1,1,0,1
0_1_1_2_1_1_1_1_1500,0,1,1,2,1,1,1,1,1
0_1_1_2_1_2_0_0_1500,0,1,1,2,1,2,0,0,1
0_1_1_2_1_2_0_1_1500,0,1,1,2,1,2,0,1,1
0_1_1_2_1_2_1_0_1500,0,1,1,2,1,2,1,0,1
0_1_1_2_1_2_1_1_1500,0,1,1,2,1,2,1,1,1
0_1_1_2_2_0_0_0_1500,0,1,1,2,2,0,0,0,1
0_1_1_2_2_0_0_1_1500,0,1,1,2,2,0,0,1,1
0_1_1_2_2_0_1_0_1500,0,1,1,2,2,0,1,0,1
0_1_1_2_2_0_1_1_1500,0,1,1,2,2,0,1,1,1
0_1_1_2_2_1_0_0_1500,0,1,1,2,2,1,0,0,1
0_1_1_2_2_1_0_1_1500,0,1,1,2,2,1,0,1,1
0_1_1_2_2_1_1_0_1500,0,1,1,2,2,1,1,0,1
0_1_1_2_2_1_1_1_1500,0,1,1,2,2,1,1,1,1
0_1_1_2_2_2_0_0_1500,0,1,1,2,2,2,0,0,1
0_1_1_2_2_2_0_1_1500,0,1,1,2,2,2,0,1,1
0_1_1_2_2_2_1_0_1500,0,1,1,2,2,2,1,0,1
0_1_1_2_2_2_1_1_1500,0,1,1,2,2,2,1,1,1
0_2_0_0_0_0_0_0_1500,0,2,0,0,0,0,0,0,1
0_2_0_0_0_0_0_1_1500,0,2,0,0,0,0,0,1,1
0_2_0_0_0_0_1_0_1500,0,2,0,0,0,0,1,0,1
0_2_0_0_0_0_1_1_1500,0,2,0,0,0,0,1,1,1
0_2_0_0_0_1_0_0_1500,0,2,0,0,0,1,0,0,1
0_2_0_0_0_1_0_1_1500,0,2,0,0,0,1,0,1,1
0_2_0_0_0_1_1_0_1500,0,2,0,0,0,1,1,0,1
0_2_0_0_0_1_1_1_1500,0,2,0,0,0,1,1,1,1
0_2_0_0_0_2_0_0_1500,0,2,0,0,0,2,0,0,1
0_2_0_0_0_2_0_1_1500,0,2,0,0,0,2,0,1,1
0_2_0_0_0_2_1_0_1500,0,2,0,0,0,2,1,0,1
0_2_0_0_0_2_1_1_1500,0,2,0,0,0,2,1,1,1
0_2_0_0_1_0_0_0_1500,0,2,0,0,1,0,0,0,1
0_2_0_0_1_0_0_1_1500,0,2,0,0,1,0,0,1,1
0_2_0_0_1_0_1_0_1500,0,2,0,0,1,0,1,0,1
0_2_0_0_1_0_1_1_1500,0,2,0,0,1,0,1,1,1
0_2_0_0_1_1_0_0_1500,0,2,0,0,1,1,0,0,1
0_2_0_0_1_1_0_1_1500,0,2,0,0,1,1,0,1,1
0_2_0_0_1_1_1_0_1500,0,2,0,0,1,1,1,0,1
0_2_0_0_1_1_1_1_1500,0,2,0,0,1,1,1,1,1
0_2_0_0_1_2_0_0_1500,0,2,0,0,1,2,0,0,1
0_2_0_0_1_2_0_1_1500,0,2,0,0,1,2,0,1,1
0_2_0_0_1_2_1_0_1500,0,2,0,0,1,2,1,0,1
0_2_0_0_1_2_1_1_1500,0,2,0,0,1,2,1,1,1
0_2_0_0_2_0_0_0_1500,0,2,0,0,2,0,0,0,1
0_2_0_0_2_0_0_1_1500,0,2,0,0,2,0,0,1,1
0_2_0_0_2_0_1_0_1500,0,2,0,0,2,0,1,0,1
0_2_0_0_2_0_1_1_1500,0,2,0,0,2,0,1,1,1
0_2_0_0_2_1_0_0_1500,0,2,0,0,2,1,0,0,1
0_2_0_0_2_1_0_1_1500,0,2,0,0,2,1,0,1,1
0_2_0_0_2_1_1_0_1500,0,2,0,0,2,1,1,0,1
0_2_0_0_2_1_1_1_1500,0,2,0,0,2,1,1,1,1
0_2_0_0_2_2_0_0_1500,0,2,0,0,2,2,0,0,1
0_2_0_0_2_2_0_1_1500,0,2,0,0,2,2,0,1,1
0_2_0_0_2_2_1_0_1500,0,2,0,0,2,2,1,0,1
0_2_0_0_2_2_1_1_1500,0,2,0,0,2,2,1,1,1
0_2_0_1_0_0_0_0_1500,0,2,0,1,0,0,0,0,1
0_2_0_1_0_0_0_1_1500,0,2,0,1,0,0,0,1,1
0_2_0_1_0_0_1_0_1500,0,2,0,1,0,0,1,0,1
0_2_0_1_0_0_1_1_1500,0,2,0,1,0,0,1,1,1
0_2_0_1_0_1_0_0_1500,0,2,0,1,0,1,0,0,1
0_2_0_1_0_1_0_1_1500,0,2,0,1,0,1,0,1,1
0_2_0_1_0_1_1_0_1500,0,2,0,1,0,1,1,0,1
0_2_0_1_0_1_1_1_1500,0,2,0,1,0,1,1,1,1
0_2_0_1_0_2_0_0_1500,0,2,0,1,0,2,0,0,1
0_2_0_1_0_2_0_1_1500,0,2,0,1,0,2,0,1,1
0_2_0_1_0_2_1_0_1500,0,2,0,1,0,2,1,0,1
0_2_0_1_0_2_1_1_1500,0,2,0,1,0,2,1,1,1
0_2_0_1_1_0_0_0_1500,0,2,0,1,1,0,0,0,1
0_2_0_1_1_0_0_1_1500,0,2,0,1,1,0,0,1,1
0_2_0_1_1_0_1_0_1500,0,2,0,1,1,0,1,0,1
0_2_0_1_1_0_1_1_1500,0,2,0,1,1,0,1,1,1
0_2_0_1_1_1_0_0_1500,0,2,0,1,1,1,0,0,1
0_2_0_1_1_1_0_1_1500,0,2,0,1,1,1,0,1,1
0_2_0_1_1_1_1_0_1500,0,2,0,1,1,1,1,0,1
0_2_0_1_1_1_1_1_1500,0,2,0,1,1,1,1,1,1
0_2_0_1_1_2_0_0_1500,0,2,0,1,1,2,0,0,1
0_2_0_1_1_2_0_1_1500,0,2,0,1,1,2,0,1,1
0_2_0_1_1_2_1_0_1500,0,2,0,1,1,2,1,0,1
0_2_0_1_1_2_1_1_1500,0,2,0,1,1,2,1,1,1
0_2_0_1_2_0_0_0_1500,0,2,0,1,2,0,0,0,1
0_2_0_1_2_0_0_1_1500,0,2,0,1,2,0,0,1,1
0_2_0_1_2_0_1_0_1500,0,2,0,1,2,0,1,0,1
0_2_0_1_2_0_1_1_1500,0,2,0,1,2,0,1,1,1
0_2_0_1_2_1_0_0_1500,0,2,0,1,2,1,0,0,1
0_2_0_1_2_1_0_1_1500,0,2,0,1,2,1,0,1,1
0_2_0_1_2_1_1_0_1500,0,2,0,1,2,1,1,0,1
0_2_0_1_2_1_1_1_1500,0,2,0,1,2,1,1,1,1
0_2_0_1_2_2_0_0_1500,0,2,0,1,2,2,0,0,1
0_2_0_1_2_2_0_1_1500,0,2,0,1,2,2,0,1,1
0_2_0_1_2_2_1_0_1500,0,2,0,1,2,2,1,0,1
0_2_0_1_2_2_1_1_1500,0,2,0,1,2,2,1,1,1
0_2_0_2_0_0_0_0_1500,0,2,0,2,0,0,0,0,1
0_2_0_2_0_0_0_1_1500,0,2,0,2,0,0,0,1,1
0_2_0_2_0_0_1_0_1500,0,2,0,2,0,0,1,0,1
0_2_0_2_0_0_1_1_1500,0,2,0,2,0,0,1,1,1
0_2_0_2_0_1_0_0_1500,0,2,0,2,0,1,0,0,1
0_2_0_2_0_1_0_1_1500,0,2,0,2,0,1,0,1,1
0_2_0_2_0_1_1_0_1500,0,2,0,2,0,1,1,0,1
0_2_0_2_0_1_1_1_1500,0,2,0,2,0,1,1,1,1
0_2_0_2_0_2_0_0_1500,0,2,0,2,0,2,0,0,1
0_2_0_2_0_2_0_1_1500,0,2,0,2,0,2,0,1,1
0_2_0_2_0_2_1_0_1500,0,2,0,2,0,2,1,0,1
0_2_0_2_0_2_1_1_1500,0,2,0,2,0,2,1,1,1
0_2_0_2_1_0_0_0_1500,0,2,0,2,1,0,0,0,1
0_2_0_2_1_0_0_1_1500,0,2,0,2,1,0,0,1,1
0_2_0_2_1_0_1_0_1500,0,2,0,2,1,0,1,0,1
0_2_0_2_1_0_1_1_1500,0,2,0,2,1,0,1,1,1
0_2_0_2_1_1_0_0_1500,0,2,0,2,1,1,0,0,1
0_2_0_2_1_1_0_1_1500,0,2,0,2,1,1,0,1,1
0_2_0_2_1_1_1_0_1500,0,2,0,2,1,1,1,0,1
0_2_0_2_1_1_1_1_1500,0,2,0,2,1,1,1,1,1
0_2_0_2_1_2_0_0_1500,0,2,0,2,1,2,0,0,1
0_2_0_2_1_2_0_1_1500,0,2,0,2,1,2,0,1,1
0_2_0_2_1_2_1_0_1500,0,2,0,2,1,2,1,0,1
0_2_0_2_1_2_1_1_1500,0,2,0,2,1,2,1,1,1
0_2_0_2_2_0_0_0_1500,0,2,0,2,2,0,0,0,1
0_2_0_2_2_0_0_1_1500,0,2,0,2,2,0,0,1,1
0_2_0_2_2_0_1_0_1500,0,2,0,2,2,0,1,0,1
0_2_0_2_2_0_1_1_1500,0,2,0,2,2,0,1,1,1
0_2_0_2_2_1_0_0_1500,0,2,0,2,2,1,0,0,1
0_2_0_2_2_1_0_1_1500,0,2,0,2,2,1,0,1,1
0_2_0_2_2_1_1_0_1500,0,2,0,2,2,1,1,0,1
0_2_0_2_2_1_1_1_1500,0,2,0,2,2,1,1,1,1
0_2_0_2_2_2_0_0_1500,0,2,0,2,2,2,0,0,2
0_2_0_2_2_2_0_1_1500,0,2,0,2,2,2,0,1,2
0_2_0_2_2_2_1_0_1500,0,2,0,2,2,2,1,0,2
0_2_0_2_2_2_1_1_1500,0,2,0,2,2,2,1,1,2
0_2_1_0_0_0_0_0_1500,0,2,1,0,0,0,0,0,1
0_2_1_0_0_0_0_1_1500,0,2,1,0,0,0,0,1,1
0_2_1_0_0_0_1_0_1500,0,2,1,0,0,0,1,0,1
0_2_1_0_0_0_1_1_1500,0,2,1,0,0,0,1,1,1
0_2_1_0_0_1_0_0_1500,0,2,1,0,0,1,0,0,1
0_2_1_0_0_1_0_1_1500,0,2,1,0,0,1,0,1,1
0_2_1_0_0_1_1_0_1500,0,2,1,0,0,1,1,0,1
0_2_1_0_0_1_1_1_1500,0,2,1,0,0,1,1,1,1
0_2_1_0_0_2_0_0_1500,0,2,1,0,0,2,0,0,1
0_2_1_0_0_2_0_1_1500,0,2,1,0,0,2,0,1,1
0_2_1_0_0_2_1_0_1500,0,2,1,0,0,2,1,0,1
0_2_1_0_0_2_1_1_1500,0,2,1,0,0,2,1,1,1
0_2_1_0_1_0_0_0_1500,0,2,1,0,1,0,0,0,1
0_2_1_0_1_0_0_1_1500,0,2,1,0,1,0,0,1,1
0_2_1_0_1_0_1_0_1500,0,2,1,0,1,0,1,0,1
0_2_1_0_1_0_1_1_1500,0,2,1,0,1,0,1,1,1
0_2_1_0_1_1_0_0_1500,0,2,1,0,1,1,0,0,1
0_2_1_0_1_1_0_1_1500,0,2,1,0,1,1,0,1,1
0_2_1_0_1_1_1_0_1500,0,2,1,0,1,1,1,0,1
0_2_1_0_1_1_1_1_1500,0,2,1,0,1,1,1,1,1
0_2_1_0_1_2_0_0_1500,0,2,1,0,1,2,0,0,1
0_2_1_0_1_2_0_1_1500,0,2,1,0,1,2,0,1,1
0_2_1_0_1_2_1_0_1500,0,2,1,0,1,2,1,0,1
0_2_1_0_1_2_1_1_1500,0,2,1,0,1,2,1,1,1
0_2_1_0_2_0_0_0_1500,0,2,1,0,2,0,0,0,1
0_2_1_0_2_0_0_1_1500,0,2,1,0,2,0,0,1,1
0_2_1_0_2_0_1_0_1500,0,2,1,0,2,0,1,0,1
0_2_1_0_2_0_1_1_1500,0,2,1,0,2,0,1,1,1
0_2_1_0_2_1_0_0_1500,0,2,1,0,2,1,0,0,1
0_2_1_0_2_1_0_1_1500,0,2,1,0,2,1,0,1,1
0_2_1_0_2_1_1_0_1500,0,2,1,0,2,1,1,0,1
0_2_1_0_2_1_1_1_1500,0,2,1,0,2,1,1,1,1
0_2_1_0_2_2_0_0_1500,0,2,1,0,2,2,0,0,1
0_2_1_0_2_2_0_1_1500,0,2,1,0,2,2,0,1,1
0_2_1_0_2_2_1_0_1500,0,2,1,0,2,2,1,0,1
0_2_1_0_2_2_1_1_1500,0,2,1,0,2,2,1,1,1
0_2_1_1_0_0_0_0_1500,0,2,1,1,0,0,0,0,1
0_2_1_1_0_0_0_1_1500,0,2,1,1,0,0,0,1,1
0_2_1_1_0_0_1_0_1500,0,2,1,1,0,0,1,0,1
0_2_1_1_0_0_1_1_1500,0,2,1,1,0,0,1,1,1
0_2_1_1_0_1_0_0_1500,0,2,1,1,0,1,0,0,1
0_2_1_1_0_1_0_1_1500,0,2,1,1,0,1,0,1,1
0_2_1_1_0_1_1_0_1500,0,2,1,1,0,1,1,0,1
0_2_1_1_0_1_1_1_1500,0,2,1,1,0,1,1,1,1
0_2_1_1_0_2_0_0_1500,0,2,1,1,0,2,0,0,1
0_2_1_1_0_2_0_1_1500,0,2,1,1,0,2,0,1,1
0_2_1_1_0_2_1_0_1500,0,2,1,1,0,2,1,0,1
0_2_1_1_0_2_1_1_1500,0,2,1,1,0,2,1,1,1
0_2_1_1_1_0_0_0_1500,0,2,1,1,1,0,0,0,1
0_2_1_1_1_0_0_1_1500,0,2,1,1,1,0,0,1,1
0_2_1_1_1_0_1_0_1500,0,2,1,1,1,0,1,0,1
0_2_1_1_1_0_1_1_1500,0,2,1,1,1,0,1,1,1
0_2_1_1_1_1_0_0_1500,0,2,1,1,1,1,0,0,1
0_2_1_1_1_1_0_1_1500,0,2,1,1,1,1,0,1,1
0_2_1_1_1_1_1_0_1500,0,2,1,1,1,1,1,0,1
0_2_1_1_1_1_1_1_1500,0,2,1,1,1,1,1,1,1
0_2_1_1_1_2_0_0_1500,0,2,1,1,1,2,0,0,1
0_2_1_1_1_2_0_1_1500,0,2,1,1,1,2,0,1,1
0_2_1_1_1_2_1_0_1500,0,2,1,1,1,2,1,0,1
0_2_1_1_1_2_1_1_1500,0,2,1,1,1,2,1,1,1
0_2_1_1_2_0_0_0_1500,0,2,1,1,2,0,0,0,1
0_2_1_1_2_0_0_1_1500,0,2,1,1,2,0,0,1,1
0_2_1_1_2_0_1_0_1500,0,2,1,1,2,0,1,0,1
0_2_1_1_2_0_1_1_1500,0,2,1,1,2,0,1,1,1
0_2_1_1_2_1_0_0_1500,0,2,1,1,2,1,0,0,1
0_2_1_1_2_1_0_1_1500,0,2,1,1,2,1,0,1,1
0_2_1_1_2_1_1_0_1500,0,2,1,1,2,1,1,0,1
0_2_1_1_2_1_1_1_1500,0,2,1,1,2,1,1,1,1
0_2_1_1_2_2_0_0_1500,0,2,1,1,2,2,0,0,1
0_2_1_1_2_2_0_1_1500,0,2,1,1,2,2,0,1,1
0_2_1_1_2_2_1_0_1500,0,2,1,1,2,2,1,0,1
0_2_1_1_2_2_1_1_1500,0,2,1,1,2,2,1,1,1
0_2_1_2_0_0_0_0_1500,0,2,1,2,0,0,0,0,1
0_2_1_2_0_0_0_1_1500,0,2,1,2,0,0,0,1,1
0_2_1_2_0_0_1_0_1500,0,2,1,2,0,0,1,0,1
0_2_1_2_0_0_1_1_1500,0,2,1,2,0,0,1,1,1
0_2_1_2_0_1_0_0_1500,0,2,1,2,0,1,0,0,1
0_2_1_2_0_1_0_1_1500,0,2,1,2,0,1,0,1,1
0_2_1_2_0_1_1_0_1500,0,2,1,2,0,1,1,0,1
0_2_1_2_0_1_1_1_1500,0,2,1,2,0,1,1,1,1
0_2_1_2_0_2_0_0_1500,0,2,1,2,0,2,0,0,1
0_2_1_2_0_2_0_1_1500,0,2,1,2,0,2,0,1,1
0_2_1_2_0_2_1_0_1500,0,2,1,2,0,2,1,0,1
0_2_1_2_0_2_1_1_1500,0,2,1,2,0,2,1,1,1
0_2_1_2_1_0_0_0_1500,0,2,1,2,1,0,0,0,1
0_2_1_2_1_0_0_1_1500,0,2,1,2,1,0,0,1,1
0_2_1_2_1_0_1_0_1500,0,2,1,2,1,0,1,0,1
0_2_1_2_1_0_1_1_1500,0,2,1,2,1,0,1,1,1
0_2_1_2_1_1_0_0_1500,0,2,1,2,1,1,0,0,1
0_2_1_2_1_1_0_1_1500,0,2,1,2,1,1,0,1,1
0_2_1_2_1_1_1_0_1500,0,2,1,2,1,1,1,0,1
0_2_1_2_1_1_1_1_1500,0,2,1,2,1,1,1,1,1
0_2_1_2_1_2_0_0_1500,0,2,1,2,1,2,0,0,1
0_2_1_2_1_2_0_1_1500,0,2,1,2,1,2,0,1,1
0_2_1_2_1_2_1_0_1500,0,2,1,2,1,2,1,0,1
0_2_1_2_1_2_1_1_1500,0,2,1,2,1,2,1,1,1
0_2_1_2_2_0_0_0_1500,0,2,1,2,2,0,0,0,1
0_2_1_2_2_0_0_1_1500,0,2,1,2,2,0,0,1,1
0_2_1_2_2_0_1_0_1500,0,2,1,2,2,0,1,0,1
0_2_1_2_2_0_1_1_1500,0,2,1,2,2,0,1,1,1
0_2_1_2_2_1_0_0_1500,0,2,1,2,2,1,0,0,1
0_2_1_2_2_1_0_1_1500,0,2,1,2,2,1,0,1,1
0_2_1_2_2_1_1_0_1500,0,2,1,2,2,1,1,0,1
0_2_1_2_2_1_1_1_1500,0,2,1,2,2,1,1,1,1
0_2_1_2_2_2_0_0_1500,0,2,1,2,2,2,0,0,2
0_2_1_2_2_2_0_1_1500,0,2,1,2,2,2,0,1,2
0_2_1_2_2_2_1_0_1500,0,2,1,2,2,2,1,0,2
0_2_1_2_2_2_1_1_1500,0,2,1,2,2,2,1,1,2
1_0_0_0_0_0_0_0_1500,1,0,0,0,0,0,0,0,1
1_0_0_0_0_0_0_1_1500,1,0,0,0,0,0,0,1,1
1_0_0_0_0_0_1_0_1500,1,0,0,0,0,0,1,0,1
1_0_0_0_0_0_1_1_1500,1,0,0,0,0,0,1,1,1
1_0_0_0_0_1_0_0_1500,1,0,0,0,0,1,0,0,1
1_0_0_0_0_1_0_1_1500,1,0,0,0,0,1,0,1,1
1_0_0_0_0_1_1_0_1500,1,0,0,0,0,1,1,0,1
1_0_0_0_0_1_1_1_1500,1,0,0,0,0,1,1,1,1
1_0_0_0_0_2_0_0_1500,1,0,0,0,0,2,0,0,1
1_0_0_0_0_2_0_1_1500,1,0,0,0,0,2,0,1,1
1_0_0_0_0_2_1_0_1500,1,0,0,0,0,2,1,0,1
1_0_0_0_0_2_1_1_1500,1,0,0,0,0,2,1,1,1
1_0_0_0_1_0_0_0_1500,1,0,0,0,1,0,0,0,1
1_0_0_0_1_0_0_1_1500,1,0,0,0,1,0,0,1,1
1_0_0_0_1_0_1_0_1500,1,0,0,0,1,0,1,0,1
1_0_0_0_1_0_1_1_1500,1,0,0,0,1,0,1,1,1
1_0_0_0_1_1_0_0_1500,1,0,0,0,1,1,0,0,1
1_0_0_0_1_1_0_1_1500,1,0,0,0,1,1,0,1,1
1_0_0_0_1_1_1_0_1500,1,0,0,0,1,1,1,0,1
1_0_0_0_1_1_1_1_1500,1,0,0,0,1,1,1,1,1
1_0_0_0_1_2_0_0_1500,1,0,0,0,1,2,0,0,1
1_0_0_0_1_2_0_1_1500,1,0,0,0,1,2,0,1,1
1_0_0_0_1_2_1_0_1500,1,0,0,0,1,2,1,0,1
1_0_0_0_1_2_1_1_1500,1,0,0,0,1,2,1,1,1
1_0_0_0_2_0_0_0_1500,1,0,0,0,2,0,0,0,1
1_0_0_0_2_0_0_1_1500,1,0,0,0,2,0,0,1,1
1_0_0_0_2_0_1_0_1500,1,0,0,0,2,0,1,0,1
1_0_0_0_2_0_1_1_1500,1,0,0,0,2,0,1,1,1
1_0_0_0_2_1_0_0_1500,1,0,0,0,2,1,0,0,1
1_0_0_0_2_1_0_1_1500,1,0,0,0,2,1,0,1,1
1_0_0_0_2_1_1_0_1500,1,0,0,0,2,1,1,0,1
1_0_0_0_2_1_1_1_1500,1,0,0,0,2,1,1,1,1
1_0_0_0_2_2_0_0_1500,1,0,0,0,2,2,0,0,1
1_0_0_0_2_2_0_1_1500,1,0,0,0,2,2,0,1,1
1_0_0_0_2_2_1_0_1500,1,0,0,0,2,2,1,0,1
1_0_0_0_2_2_1_1_1500,1,0,0,0,2,2,1,1,1
1_0_0_1_0_0_0_0_1500,1,0,0,1,0,0,0,0,1
1_0_0_1_0_0_0_1_1500,1,0,0,1,0,0,0,1,1
1_0_0_1_0_0_1_0_1500,1,0,0,1,0,0,1,0,1
1_0_0_1_0_0_1_1_1500,1,0,0,1,0,0,1,1,1
1_0_0_1_0_1_0_0_1500,1,0,0,1,0,1,0,0,1
1_0_0_1_0_1_0_1_1500,1,0,0,1,0,1,0,1,1
1_0_0_1_0_1_1_0_1500,1,0,0,1,0,1,1,0,1
1_0_0_1_0_1_1_1_1500,1,0,0,1,0,1,1,1,1
1_0_0_1_0_2_0_0_1500,1,0,0,1,0,2,0,0,1
1_0_0_1_0_2_0_1_1500,1,0,0,1,0,2,0,1,1
1_0_0_1_0_2_1_0_1500,1,0,0,1,0,2,1,0,1
1_0_0_1_0_2_1_1_1500,1,0,0,1,0,2,1,1,1
1_0_0_1_1_0_0_0_1500,1,0,0,1,1,0,0,0,1
1_0_0_1_1_0_0_1_1500,1,0,0,1,1,0,0,1,1
1_0_0_1_1_0_1_0_1500,1,0,0,1,1,0,1,0,1
1_0_0_1_1_0_1_1_1500,1,0,0,1,1,0,1,1,1
1_0_0_1_1_1_0_0_1500,1,0,0,1,1,1,0,0,1
1_0_0_1_1_1_0_1_1500,1,0,0,1,1,1,0,1,1
1_0_0_1_1_1_1_0_1500,1,0,0,1,1,1,1,0,1
1_0_0_1_1_1_1_1_1500,1,0,0,1,1,1,1,1,1
1_0_0_1_1_2_0_0_1500,1,0,0,1,1,2,0,0,1
1_0_0_1_1_2_0_1_1500,1,0,0,1,1,2,0,1,1
1_0_0_1_1_2_1_0_1500,1,0,0,1,1,2,1,0,1
1_0_0_1_1_2_1_1_1500,1,0,0,1,1,2,1,1,1
1_0_0_1_2_0_0_0_1500,1,0,0,1,2,0,0,0,1
1_0_0_1_2_0_0_1_1500,1,0,0,1,2,0,0,1,1
1_0_0_1_2_0_1_0_1500,1,0,0,1,2,0,1,0,1
1_0_0_1_2_0_1_1_1500,1,0,0,1,2,0,1,1,1
1_0_0_1_2_1_0_0_1500,1,0,0,1,2,1,0,0,1
1_0_0_1_2_1_0_1_1500,1,0,0,1,2,1,0,1,1
1_0_0_1_2_1_1_0_1500,1,0,0,1,2,1,1,0,1
1_0_0_1_2_1_1_1_1500,1,0,0,1,2,1,1,1,1
1_0_0_1_2_2_0_0_1500,1,0,0,1,2,2,0,0,1
1_0_0_1_2_2_0_1_1500,1,0,0,1,2,2,0,1,1
1_0_0_1_2_2_1_0_1500,1,0,0,1,2,2,1,0,1
1_0_0_1_2_2_1_1_1500,1,0,0,1,2,2,1,1,1
1_0_0_2_0_0_0_0_1500,1,0,0,2,0,0,0,0,1
1_0_0_2_0_0_0_1_1500,1,0,0,2,0,0,0,1,1
1_0_0_2_0_0_1_0_1500,1,0,0,2,0,0,1,0,1
1_0_0_2_0_0_1_1_1500,1,0,0,2,0,0,1,1,1
1_0_0_2_0_1_0_0_1500,1,0,0,2,0,1,0,0,1
1_0_0_2_0_1_0_1_1500,1,0,0,2,0,1,0,1,1
1_0_0_2_0_1_1_0_1500,1,0,0,2,0,1,1,0,1
1_0_0_2_0_1_1_1_1500,1,0,0,2,0,1,1,1,1
1_0_0_2_0_2_0_0_1500,1,0,0,2,0,2,0,0,1
1_0_0_2_0_2_0_1_1500,1,0,0,2,0,2,0,1,1
1_0_0_2_0_2_1_0_1500,1,0,0,2,0,2,1,0,1
1_0_0_2_0_2_1_1_1500,1,0,0,2,0,2,1,1,1
1_0_0_2_1_0_0_0_1500,1,0,0,2,1,0,0,0,1
1_0_0_2_1_0_0_1_1500,1,0,0,2,1,0,0,1,1
1_0_0_2_1_0_1_0_1500,1,0,0,2,1,0,1,0,1
1_0_0_2_1_0_1_1_1500,1,0,0,2,1,0,1,1,1
1_0_0_2_1_1_0_0_1500,1,0,0,2,1,1,0,0,1
1_0_0_2_1_1_0_1_1500,1,0,0,2,1,1,0,1,1
1_0_0_2_1_1_1_0_1500,1,0,0,2,1,1,1,0,1
1_0_0_2_1_1_1_1_1500,1,0,0,2,1,1,1,1,1
1_0_0_2_1_2_0_0_1500,1,0,0,2,1,2,0,0,1
1_0_0_2_1_2_0_1_1500,1,0,0,2,1,2,0,1,1
1_0_0_2_1_2_1_0_1500,1,0,0,2,1,2,1,0,1
1_0_0_2_1_2_1_1_1500,1,0,0,2,1,2,1,1,1
1_0_0_2_2_0_0_0_1500,1,0,0,2,2,0,0,0,1
1_0_0_2_2_0_0_1_1500,1,0,0,2,2,0,0,1,1
1_0_0_2_2_0_1_0_1500,1,0,0,2,2,0,1,0,1
1_0_0_2_2_0_1_1_1500,1,0,0,2,2,0,1,1,1
1_0_0_2_2_1_0_0_1500,1,0,0,2,2,1,0,0,1
1_0_0_2_2_1_0_1_1500,1,0,0,2,2,1,0,1,1
